1,Aegis Dynamics,https://cig-galactapedia-prod.s3.amazonaws.com/upload/449f1583-b061-485d-9dfe-33ba94ba13ee
2,Anvil Aerospace,https://cig-galactapedia-prod.s3.amazonaws.com/upload/b46ae51c-d339-4126-b1e5-1921bb66609e
3,AopoA,https://cig-galactapedia-prod.s3.amazonaws.com/upload/90ce09da-d341-4c06-8973-c051819e33ed
4,ARGO Astronautics,https://cig-galactapedia-prod.s3.amazonaws.com/upload/3612fcab-844b-4821-b34c-a27ef56ed85a
5,Banu,
6,Consolidated Outland,https://cig-galactapedia-prod.s3.amazonaws.com/upload/36a17b33-dcb6-471f-9730-aa86a8ec659e
7,Crusader Industries,https://cig-galactapedia-prod.s3.amazonaws.com/upload/c5ed3add-3ff0-498e-9a7e-da34cc06c06f
8,Drake Interplanetary,https://cig-galactapedia-prod.s3.amazonaws.com/upload/8f52bcf4-0e6c-42b0-9d74-981c5262c2f3
9,Esperia Inc.,https://cig-galactapedia-prod.s3.amazonaws.com/upload/f3d12e41-6a2a-4cb2-910a-92dd8e1f6917
10,Kruger Intergalactic,https://cig-galactapedia-prod.s3.amazonaws.com/upload/09f74737-845f-48ae-848d-4d669a9eccac
11,MISC,https://cig-galactapedia-prod.s3.amazonaws.com/upload/2ce19a43-1fd0-476c-a13f-346b4f16a361
12,Origin Jumpworks,https://cig-galactapedia-prod.s3.amazonaws.com/upload/ebeeab2a-a9cb-46bc-aefa-6db0fd6016d7
13,Roberts Space Industries,https://cig-galactapedia-prod.s3.amazonaws.com/upload/fb043453-1385-4ed0-b299-6aee53c2fe13
14,Gatac Manufacture,https://media.starcitizen.tools/9/92/Gatac_Manufacture_logo_Galactapedia.png
15,Mirai,https://cig-galactapedia-prod.s3.amazonaws.com/upload/ca7508f7-9c2e-443d-8f57-d9826261b214
16,Tumbril Land Systems,
17,Greycat Industrial,
